ダウンロードした時刻：2020/03/30 11:29:33

,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬,府中,府中,府中,府中,府中,府中,府中,府中,府中,府中,府中,府中,府中,府中,所沢,所沢,所沢,所沢,所沢,所沢,所沢,所沢,所沢,所沢,所沢,所沢,所沢,所沢,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,三島,三島,三島,三島,三島,三島,三島,三島,三島,三島,三島,三島,三島,三島,三島,茂原,茂原,茂原,茂原,茂原,茂原,茂原,茂原,茂原,茂原,茂原,茂原,茂原,茂原
2016/6/30 8:00:00,22.0,8,1,0.0,8,1,,0,1,0.8,8,東南東,8,1,21.8,8,1,0.0,8,1,,0,1,0.9,8,東北東,8,1,21.2,8,1,0.0,0,8,1,98,8,1,1.6,8,北東,8,1,22.7,8,1,0.0,8,1,,0,1,0.2,8,静穏,8,1,21.9,8,1,0.0,8,1,,0,1,0.8,8,東南東,8,1,21.4,8,1,0.0,8,1,,0,1,0.6,8,北,8,1,22.4,8,1,0,1,8,1,61,8,1,3.0,8,東,8,1,21.9,8,1,0,1,8,1,87,8,1,1.0,8,南西,8,1,21.2,8,1,0.0,8,1,,0,1,0.4,8,北東,8,1
2016/6/30 9:00:00,22.2,8,1,0.0,8,1,,0,1,1.8,8,南,8,1,22.8,8,1,0.0,8,1,,0,1,1.4,8,南,8,1,21.2,8,1,0.0,0,8,1,99,8,1,1.4,8,北北東,8,1,22.5,8,1,0.0,8,1,,0,1,1.1,8,北北東,8,1,22.7,8,1,0.0,8,1,,0,1,0.8,8,東,8,1,22.1,8,1,0.0,8,1,,0,1,1.2,8,北東,8,1,23.6,8,1,0,1,8,1,55,8,1,3.9,8,東南東,8,1,22.1,8,1,0,1,8,1,88,8,1,1.5,8,西,8,1,22.0,8,1,0.0,8,1,,0,1,0.7,8,北東,8,1
2016/6/30 10:00:00,22.1,8,1,0.0,8,1,,0,1,1.6,8,南南西,8,1,23.8,8,1,0.0,8,1,,0,1,1.5,8,南,8,1,21.7,8,1,0.0,0,8,1,97,8,1,0.6,8,東北東,8,1,22.1,8,1,0.0,8,1,,0,1,0.4,8,東南東,8,1,23.5,8,1,0.0,8,1,,0,1,0.8,8,南南西,8,1,23.0,8,1,0.0,8,1,,0,1,0.8,8,北東,8,1,25.2,8,1,0,1,8,1,53,8,1,5.2,8,東南東,8,1,21.9,8,1,0,1,8,1,92,8,1,0.9,8,北西,8,1,23.1,8,1,0.0,8,1,,0,1,0.6,8,北,8,1
2016/6/30 11:00:00,23.2,8,1,0.0,8,1,,0,1,2.0,8,南南西,8,1,23.8,8,1,0.0,8,1,,0,1,1.4,8,南南西,8,1,21.6,8,1,0.0,0,8,1,98,8,1,1.6,8,西北西,8,1,22.4,8,1,0.0,8,1,,0,1,0.5,8,東南東,8,1,22.6,8,1,0.0,8,1,,0,1,2.0,8,東南東,8,1,23.0,8,1,0.0,8,1,,0,1,0.6,8,東,8,1,26.4,8,1,0,1,8,1,49,8,1,6.1,8,南東,8,1,22.0,8,1,0.0,0,8,1,94,8,1,0.6,8,南南西,8,1,23.8,8,1,0.0,8,1,,0,1,1.0,8,北北西,8,1
2016/6/30 12:00:00,23.8,8,1,0.0,8,1,,0,1,2.5,8,南南西,8,1,25.5,8,1,0.0,8,1,,0,1,2.3,8,南南西,8,1,24.4,8,1,0,1,8,1,82,8,1,1.2,8,西北西,8,1,23.1,8,1,0.0,8,1,,0,1,1.3,8,東,8,1,23.4,8,1,0.0,8,1,,0,1,1.7,8,北東,8,1,22.8,8,1,0.0,8,1,,0,1,1.3,8,東北東,8,1,26.7,8,1,0,1,8,1,47,8,1,6.8,8,東南東,8,1,22.4,8,1,0.0,0,8,1,90,8,1,1.8,8,西,8,1,23.6,8,1,0.0,8,1,,0,1,1.3,8,北北西,8,1
2016/6/30 13:00:00,23.9,8,1,0.0,8,1,,0,1,3.0,8,南,8,1,26.1,8,1,0.0,8,1,,0,1,3.4,8,南,8,1,26.0,8,1,0,1,8,1,74,8,1,0.9,8,西南西,8,1,24.7,8,1,0.0,8,1,,0,1,0.4,8,北東,8,1,24.4,8,1,0.0,8,1,,0,1,1.5,8,東南東,8,1,23.2,8,1,0.0,8,1,,0,1,0.7,8,南,8,1,27.2,8,1,0,1,8,1,44,8,1,7.7,8,南東,8,1,22.4,8,1,0.0,0,8,1,94,8,1,1.8,8,西北西,8,1,24.5,8,1,0.0,8,1,,0,1,1.5,8,北西,8,1
2016/6/30 14:00:00,23.7,8,1,0.0,8,1,,0,1,2.3,8,南南西,8,1,25.0,8,1,0.0,8,1,,0,1,3.4,8,南南東,8,1,27.1,8,1,0,1,8,1,73,8,1,1.0,8,東北東,8,1,26.2,8,1,0.0,8,1,,0,1,0.4,8,東,8,1,25.1,8,1,0.0,8,1,,0,1,1.2,8,南南西,8,1,23.4,8,1,0.0,8,1,,0,1,0.9,8,北西,8,1,26.9,8,1,0,1,8,1,48,8,1,4.7,8,南東,8,1,22.7,8,1,0.0,0,8,1,94,8,1,1.1,8,北,8,1,25.5,8,1,0.0,8,1,,0,1,2.1,8,南西,8,1
2016/6/30 15:00:00,23.9,8,1,0.0,8,1,,0,1,2.3,8,南南西,8,1,25.9,8,1,0.0,8,1,,0,1,2.6,8,南南東,8,1,26.4,8,1,0,1,8,1,75,8,1,2.0,8,南,8,1,26.5,8,1,0.0,8,1,,0,1,0.6,8,南西,8,1,25.4,8,1,0.0,8,1,,0,1,0.8,8,北北東,8,1,24.5,8,1,0.0,8,1,,0,1,0.8,8,西,8,1,25.7,8,1,0,1,8,1,52,8,1,5.6,8,東南東,8,1,23.4,8,1,0.0,0,8,1,90,8,1,1.8,8,北北西,8,1,26.2,8,1,0.0,8,1,,0,1,1.7,8,北北東,8,1
2016/6/30 16:00:00,23.8,8,1,0.0,8,1,,0,1,2.3,8,南西,8,1,25.6,8,1,0.0,8,1,,0,1,2.9,8,南南西,8,1,25.7,8,1,0,1,8,1,74,8,1,2.7,8,南南東,8,1,26.8,8,1,0.0,8,1,,0,1,0.1,8,静穏,8,1,26.1,8,1,0.0,8,1,,0,1,1.1,8,西南西,8,1,24.7,8,1,0.0,8,1,,0,1,1.6,8,西,8,1,26.0,8,1,0,1,8,1,50,8,1,4.8,8,南東,8,1,23.0,8,1,0.0,0,8,1,94,8,1,1.8,8,西北西,8,1,25.6,8,1,0.0,8,1,,0,1,1.2,8,東南東,8,1
2016/6/30 17:00:00,23.2,8,1,0.0,8,1,,0,1,1.7,8,南西,8,1,25.2,8,1,0.0,8,1,,0,1,2.2,8,南南西,8,1,26.0,8,1,0.0,0,8,1,75,8,1,1.7,8,南南東,8,1,26.9,8,1,0.0,8,1,,0,1,1.2,8,南南西,8,1,25.6,8,1,0.0,8,1,,0,1,1.5,8,南西,8,1,24.8,8,1,0.0,8,1,,0,1,1.7,8,南西,8,1,25.3,8,1,0,1,8,1,53,8,1,4.8,8,東南東,8,1,23.3,8,1,0.0,0,8,1,92,8,1,1.1,8,北,8,1,25.3,8,1,0.0,8,1,,0,1,1.3,8,南南東,8,1
2016/6/30 18:00:00,22.8,8,1,0.0,8,1,,0,1,1.0,8,南西,8,1,24.6,8,1,0.0,8,1,,0,1,1.7,8,南南西,8,1,24.9,8,1,0,1,8,1,79,8,1,1.6,8,南南東,8,1,25.5,8,1,0.0,8,1,,0,1,0.8,8,南西,8,1,25.3,8,1,0.0,8,1,,0,1,1.4,8,南南西,8,1,23.5,8,1,0.0,8,1,,0,1,0.9,8,北西,8,1,24.3,8,1,0,1,8,1,56,8,1,4.8,8,南南東,8,1,23.4,8,1,0.0,0,8,1,91,8,1,0.9,8,北西,8,1,24.8,8,1,0.0,8,1,,0,1,1.8,8,南南東,8,1
2016/6/30 19:00:00,22.4,8,1,0.0,8,1,,0,1,0.6,8,西南西,8,1,24.2,8,1,0.0,8,1,,0,1,0.0,8,静穏,8,1,23.7,8,1,0,1,8,1,85,8,1,1.3,8,南,8,1,26.2,8,1,0.0,8,1,,0,1,1.2,8,西南西,8,1,24.6,8,1,0.0,8,1,,0,1,1.8,8,南南西,8,1,22.8,8,1,0.0,8,1,,0,1,0.1,8,静穏,8,1,22.0,8,1,0,1,8,1,68,8,1,3.0,8,東南東,8,1,23.4,8,1,0.0,0,8,1,91,8,1,1.1,8,東北東,8,1,23.0,8,1,0.0,8,1,,0,1,2.1,8,東,8,1
2016/6/30 20:00:00,22.5,8,1,0.0,8,1,,0,1,0.6,8,南南西,8,1,23.9,8,1,0.0,8,1,,0,1,2.6,8,南東,8,1,23.2,8,1,0.0,0,8,1,88,8,1,1.3,8,南東,8,1,24.6,8,1,0.0,8,1,,0,1,0.1,8,静穏,8,1,24.1,8,1,0.0,8,1,,0,1,1.7,8,南西,8,1,22.4,8,1,0.0,8,1,,0,1,0.4,8,西南西,8,1,20.9,8,1,0,1,8,1,71,8,1,3.2,8,東南東,8,1,23.3,8,1,0,1,8,1,92,8,1,0.9,8,南南東,8,1,22.6,8,1,0.0,8,1,,0,1,1.1,8,東,8,1
2016/6/30 21:00:00,22.6,8,1,0.0,8,1,,0,1,1.0,8,南南西,8,1,23.8,8,1,0.0,8,1,,0,1,3.6,8,東,8,1,24.8,8,1,0.0,0,8,1,82,8,1,2.9,8,東南東,8,1,25.4,8,1,0.0,8,1,,0,1,1.1,8,西南西,8,1,24.3,8,1,0.0,8,1,,0,1,1.1,8,西,8,1,22.6,8,1,0.0,8,1,,0,1,1.6,8,西,8,1,20.0,8,1,0,1,8,1,73,8,1,4.0,8,南東,8,1,23.2,8,1,0,1,8,1,92,8,1,0.8,8,南西,8,1,22.6,8,1,0.0,8,1,,0,1,0.9,8,東南東,8,1
2016/6/30 22:00:00,22.5,8,1,0.0,8,1,,0,1,0.2,8,静穏,8,1,23.3,8,1,0.0,8,1,,0,1,2.1,8,南南東,8,1,23.8,8,1,0.0,0,8,1,89,8,1,2.1,8,南南東,8,1,24.0,8,1,0.0,8,1,,0,1,0.3,8,東,8,1,24.2,8,1,0.0,8,1,,0,1,0.8,8,西,8,1,22.5,8,1,0.0,8,1,,0,1,0.1,8,静穏,8,1,19.1,8,1,0,1,8,1,79,8,1,6.2,8,南東,8,1,23.2,8,1,0,1,8,1,94,8,1,0.7,8,東南東,8,1,22.6,8,1,0.0,8,1,,0,1,0.9,8,南南西,8,1
2016/6/30 23:00:00,22.5,8,1,0.0,8,1,,0,1,1.2,8,南南東,8,1,23.3,8,1,0.0,8,1,,0,1,1.9,8,南東,8,1,23.5,8,1,0,1,8,1,90,8,1,2.0,8,南,8,1,24.7,8,1,0.0,8,1,,0,1,0.9,8,南,8,1,24.0,8,1,0.0,8,1,,0,1,1.2,8,南東,8,1,22.2,8,1,0.0,8,1,,0,1,1.0,8,南南西,8,1,18.9,8,1,0,1,8,1,80,8,1,6.1,8,南東,8,1,23.1,8,1,0,1,8,1,94,8,1,0.9,8,北東,8,1,22.7,8,1,0.0,8,1,,0,1,0.9,8,南南東,8,1
2016/7/1 00:00:00,22.3,8,1,0.0,8,1,,0,1,1.2,8,南南西,8,1,23.2,8,1,0.0,8,1,,0,1,1.8,8,東南東,8,1,22.8,8,1,0,1,8,1,94,8,1,1.1,8,南南東,8,1,23.6,8,1,0.0,8,1,,0,1,0.1,8,静穏,8,1,23.9,8,1,0.0,8,1,,0,1,1.0,8,西,8,1,22.1,8,1,0.0,8,1,,0,1,0.2,8,静穏,8,1,18.8,8,1,0,1,8,1,79,8,1,3.6,8,南東,8,1,22.8,8,1,0,1,8,1,93,8,1,1.7,8,南東,8,1,22.5,8,1,0.0,8,1,,0,1,1.0,8,東南東,8,1
